site_id,domain,priority,enabled,robots_url,sitemap_url,expected_game_path,notes,site_category
mathgames,mathgames.com,medium,true,https://mathgames.com/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
mathplayground,mathplayground.com,medium,true,https://mathplayground.com/robots.txt,,,M5阶段5 2026-07-14实测确认：1个Sitemap Endpoint，普通urlset，977个页面URL，两轮均success/complete=true,A
miniplay,miniplay.com,medium,true,https://miniplay.com/robots.txt,,,分组:G,G
mousebreaker,mousebreaker.com,medium,true,https://mousebreaker.com/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
nitrome,nitrome.com,medium,true,https://nitrome.com/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
onlinegames,onlinegames.io,medium,true,https://onlinegames.io/robots.txt,,,分组:G,G
pacogames,pacogames.com,medium,true,https://pacogames.com/robots.txt,,,M5阶段5 2026-07-14实测确认：68个Sitemap Endpoint，Sitemap Index结构，54321个页面URL，两轮均success/complete=true,B
papas_games,papas-games.io,medium,true,https://papas-games.io/robots.txt,,,M5阶段5 2026-07-14实测确认：1个Sitemap Endpoint，普通urlset，1332个页面URL，两轮均success/complete=true,A
pbskids,pbskids.org,medium,true,https://pbskids.org/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
playagame,playagame.io,medium,true,https://playagame.io/robots.txt,,,M5阶段5 2026-07-14实测确认：2个Sitemap Endpoint，同域名多Endpoint结构，50个页面URL，两轮均success/complete=true,B
playbrain,playbrain.games,medium,true,https://playbrain.games/robots.txt,,,分组:G,G
playgama,playgama.com,medium,true,https://playgama.com/robots.txt,,,分组:E(M5阶段4 2026-07-14实测确认：robots.txt声明23个Sitemap Endpoint，Sitemap Index结构，大部分成功抓到14677个页面URL，但其中3个以上单文件超过MAX_DOWNLOAD_BYTES=20MB被拒绝，status=partial，与kongregate同类限制，本阶段不做全局限制调整)；两轮结果一致，未污染历史,E
playhop,playhop.com,medium,true,https://playhop.com/robots.txt,,,M5阶段5 2026-07-14实测确认：Sitemap Index结构，达到MAX_SITEMAPS_PER_SITE=200 Endpoint上限，227278个页面URL，两轮均status=partial/truncated=true(MAX_SITEMAPS_ENDPOINTS)，属超大型站，与itch.io(页面URL上限)、kongregate/playgama(单文件大小上限)构成第三类真实大站限制场景，本阶段未调整全局限制,E
playmath,playmath.org,medium,true,https://playmath.org/robots.txt,,,分组:G,G
plays,plays.org,medium,true,https://plays.org/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
primarygames,primarygames.com,medium,true,https://primarygames.com/robots.txt,,,分组:G,G
shockwave,shockwave.com,medium,true,https://shockwave.com/robots.txt,,,分组:G,G
spel,spel.nl,medium,true,https://spel.nl/robots.txt,,,M5阶段5 2026-07-14实测确认：两轮均返回403（robots.txt和/或候选Sitemap均被拦截），当前不支持,F
spelletjes,spelletjes.nl,medium,true,https://spelletjes.nl/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
startgamer,startgamer.net,medium,true,https://startgamer.net/robots.txt,,,M5阶段5 2026-07-14实测确认：1个Sitemap Endpoint，普通urlset，4604个页面URL，两轮均success/complete=true,A
storytellergame,storytellergame.io,medium,true,https://storytellergame.io/robots.txt,,,分组:B(M5阶段3 2026-07-13实测确认：8个Sitemap Endpoint，Sitemap Index结构，2176个页面URL)；complete=true/truncated=false，两轮验证added=0无虚假新增,B
titotu,titotu.io,medium,true,https://titotu.io/robots.txt,,,M5阶段5 2026-07-14实测确认：1个Sitemap Endpoint，普通urlset，7053个页面URL，两轮均success/complete=true,A
toytheater,toytheater.com,medium,true,https://toytheater.com/robots.txt,,,M5阶段5 2026-07-14实测确认：4个Sitemap Endpoint，Sitemap Index结构，620个页面URL，两轮均success/complete=true,B
vseigru,vseigru.net,medium,true,https://vseigru.net/robots.txt,,,M5阶段5 2026-07-14实测确认：robots.txt声明的Sitemap地址(site-map.html?view=xml)独立curl验证也返回404，属站点自身声明过期/配置错误，非本项目bug，当前无法支持,G
webgames,webgames.io,medium,true,https://webgames.io/robots.txt,,,分组:G；robots.txt未声明Sitemap，依赖discovery常见路径探测,G
yad,yad.com,medium,true,https://yad.com/robots.txt,,,分组:G,G
armorgames,armorgames.com,low,true,https://armorgames.com/robots.txt,,/play/,分组:F(M5阶段4 2026-07-14实测确认：robots.txt正确声明了Sitemap地址https://armorgames.com/sitemap，但实际请求返回403，status=failed，0个页面URL；两轮验证均确认该站失败未影响同批其余19个站，属正确的单站失败隔离，暂不计入生产可用站点),F
freeonlinegames,freeonlinegames.com,low,true,https://freeonlinegames.com/robots.txt,,,分组:F；curl验证时首页返回403，需确认真实抓取行为；robots.txt未声明Sitemap，依赖discovery常见路径探测,F
gameflare,gameflare.com,low,true,https://gameflare.com/robots.txt,,,分组:F；curl验证时首页返回403，需确认真实抓取行为；robots.txt未声明Sitemap，依赖discovery常见路径探测,F
kbhgames,kbhgames.com,low,true,https://kbhgames.com/robots.txt,,,M5阶段5 2026-07-14实测确认：39个Sitemap Endpoint，Sitemap Index结构，32987个页面URL，两轮均success/complete=true；此前curl直接访问首页曾遇403，但项目采集器实测正常，纠正分组F→B,B
newgrounds,newgrounds.com,low,true,https://newgrounds.com/robots.txt,,/portal/view/,分组:F(M5阶段3 2026-07-13实测确认：robots.txt和全部3个discovery常见路径候选均返回403，0个Sitemap Endpoint被发现，status=failed；两轮验证均确认该站失败未影响同批其余9个站，属正确的单站失败隔离，暂不计入生产可用站点),F
speeleiland,speeleiland.nl,low,true,https://speeleiland.nl/robots.txt,,,分组:F；curl验证时首页返回403，需确认真实抓取行为；robots.txt未声明Sitemap，依赖discovery常见路径探测,F
spelle,spelle.nl,low,true,https://spelle.nl/robots.txt,,,分组:F；curl验证时首页返回403，需确认真实抓取行为；robots.txt未声明Sitemap，依赖discovery常见路径探测,F
